epoch;dice;dice_bladder;dice_bones;dice_kidneys;dice_liver;dice_lungs;loss;lr;val_dice;val_dice_bladder;val_dice_bones;val_dice_kidneys;val_dice_liver;val_dice_lungs;val_loss
0;0.7619342803955078;0.37824714183807373;0.787650465965271;0.5485953092575073;0.6837649345397949;0.8668110966682434;0.2894707918167114;0.001;0.8126509785652161;0.42055967450141907;0.8472409844398499;0.6135721802711487;0.7726857662200928;0.8857623338699341;0.24271592497825623
1;0.8223339915275574;0.43836212158203125;0.8537591099739075;0.6488099098205566;0.7757352590560913;0.8975003957748413;0.22562891244888306;0.001;0.8201090693473816;0.43734097480773926;0.8447095155715942;0.65971839427948;0.7811698317527771;0.8939396739006042;0.22122427821159363
2;0.8367328643798828;0.4529189169406891;0.8696408867835999;0.6645484566688538;0.801374077796936;0.9035302996635437;0.21220147609710693;0.001;0.8472476005554199;0.4630463421344757;0.8894372582435608;0.6775135397911072;0.8172673583030701;0.9030344486236572;0.20875178277492523
3;0.8456009030342102;0.46337586641311646;0.8811030387878418;0.6744356751441956;0.8153983950614929;0.9067942500114441;0.20402148365974426;0.001;0.8461847901344299;0.45441296696662903;0.8815035820007324;0.6783238053321838;0.8285314440727234;0.9004238843917847;0.20419585704803467
4;0.8516758680343628;0.4713079035282135;0.8907583355903625;0.6804819703102112;0.8220803737640381;0.9094305634498596;0.19877947866916656;0.001;0.8542606830596924;0.4655545949935913;0.9007081389427185;0.6870296597480774;0.8304380774497986;0.9030378460884094;0.20223361253738403
5;0.8561265468597412;0.4772726893424988;0.8984973430633545;0.6877191662788391;0.8273847699165344;0.910163164138794;0.19414609670639038;0.001;0.8598812222480774;0.4588358700275421;0.9110903739929199;0.7025359869003296;0.8354901075363159;0.9053483605384827;0.19783438742160797
6;0.8601090908050537;0.4821998178958893;0.9052349925041199;0.6944215893745422;0.8315965533256531;0.9113186001777649;0.19007796049118042;0.001;0.8620690107345581;0.4789305031299591;0.9143595099449158;0.7041206359863281;0.8349114060401917;0.9062992334365845;0.1928798407316208
7;0.8630561828613281;0.48627930879592896;0.910464346408844;0.6983230113983154;0.8346826434135437;0.9121042490005493;0.1872447282075882;0.001;0.8665429949760437;0.4893518090248108;0.9133190512657166;0.709571123123169;0.8494458794593811;0.9080374836921692;0.1853955239057541
8;0.8660082221031189;0.4901960492134094;0.9146072864532471;0.703515887260437;0.8385902047157288;0.9130795001983643;0.1840856969356537;0.001;0.8662038445472717;0.4817573130130768;0.9171046614646912;0.7105358242988586;0.8490309715270996;0.9051763415336609;0.18722783029079437
9;0.8677080869674683;0.4928226172924042;0.9176190495491028;0.7072694897651672;0.8401305079460144;0.9134310483932495;0.18204888701438904;0.001;0.8703540563583374;0.496541291475296;0.9212629199028015;0.7158988118171692;0.8528792262077332;0.9080397486686707;0.18062882125377655
10;0.8697531223297119;0.49546608328819275;0.9205915331840515;0.711155891418457;0.8432039022445679;0.9137723445892334;0.17981094121932983;0.001;0.8745611310005188;0.5009424090385437;0.929635763168335;0.7240089178085327;0.8546362519264221;0.9098894000053406;0.17792123556137085
11;0.8712003231048584;0.49807310104370117;0.9229386448860168;0.7144253253936768;0.8446901440620422;0.9140878915786743;0.17803741991519928;0.001;0.8741921782493591;0.4984026849269867;0.9276251792907715;0.7276378273963928;0.8587813973426819;0.9077205657958984;0.1795254945755005
12;0.8723590970039368;0.500131368637085;0.924781858921051;0.7171722650527954;0.8461706042289734;0.9141710996627808;0.17658153176307678;0.001;0.8752637505531311;0.5063331127166748;0.9311976432800293;0.7301579713821411;0.8531250953674316;0.9099484086036682;0.17458012700080872
13;0.8765125274658203;0.5074412226676941;0.9308621883392334;0.7246078848838806;0.8515917658805847;0.9151574969291687;0.17191718518733978;0.0005;0.877699077129364;0.5070791244506836;0.9347336292266846;0.7337658405303955;0.8592629432678223;0.9092517495155334;0.17173510789871216
14;0.8828179240226746;0.6578061580657959;0.9293288588523865;0.7242422699928284;0.8516759872436523;0.9149395823478699;0.12951764464378357;0.0005;0.8890462517738342;0.7189053893089294;0.9362767338752747;0.7366767525672913;0.8623049855232239;0.9103080630302429;0.11170385032892227
15;0.8866211771965027;0.7185546159744263;0.9308114051818848;0.7259613275527954;0.8529564738273621;0.9155113101005554;0.11329419910907745;0.0005;0.8900389671325684;0.737540602684021;0.9369704723358154;0.7370564937591553;0.8620958924293518;0.9102201461791992;0.10788687318563461
16;0.8875929117202759;0.7266433835029602;0.9321605563163757;0.7270315289497375;0.8535923957824707;0.91551274061203;0.11110204458236694;0.0005;0.890295147895813;0.7430943846702576;0.9354395270347595;0.7401346564292908;0.8627308011054993;0.9106218814849854;0.10717010498046875
17;0.8887035250663757;0.7322553992271423;0.9336862564086914;0.7285738587379456;0.8544184565544128;0.9158633351325989;0.10932079702615738;0.0005;0.8916292786598206;0.7494489550590515;0.938471794128418;0.7389039993286133;0.8633187413215637;0.9108205437660217;0.10598539561033249
18;0.8893793821334839;0.7358741760253906;0.935003399848938;0.7294259071350098;0.8547762036323547;0.9158416986465454;0.10830525308847427;0.0005;0.8915964961051941;0.7434443831443787;0.9376616477966309;0.7408907413482666;0.86532062292099;0.9105785489082336;0.10486265271902084
19;0.8901886343955994;0.7383844256401062;0.936306357383728;0.7306237816810608;0.855444610118866;0.9160856604576111;0.10723637789487839;0.0005;0.891348659992218;0.7499469518661499;0.9377670884132385;0.7352820634841919;0.8636653423309326;0.9108582139015198;0.10533686727285385
