epoch;dice;dice_bladder;dice_bones;dice_kidneys;dice_liver;dice_lungs;loss;lr;val_dice;val_dice_bladder;val_dice_bones;val_dice_kidneys;val_dice_liver;val_dice_lungs;val_loss
0;0.778571605682373;0.5154872536659241;0.8202417492866516;0.5922337770462036;0.7199123501777649;0.8401744961738586;0.22434751689434052;0.001;0.8288872241973877;0.5665469169616699;0.8814006447792053;0.6566633582115173;0.8039913773536682;0.8588282465934753;0.17912520468235016
1;0.8291294574737549;0.611193835735321;0.8628862500190735;0.674598217010498;0.7842877507209778;0.8784568905830383;0.16456153988838196;0.001;0.8195686340332031;0.49845996499061584;0.8700684905052185;0.672610342502594;0.8164992928504944;0.8411526679992676;0.18759657442569733
2;0.8417114019393921;0.6295160055160522;0.8721364140510559;0.6911198496818542;0.8049637675285339;0.8874000310897827;0.15230613946914673;0.001;0.8253836631774902;0.5386040806770325;0.8723152279853821;0.6750670075416565;0.8136096000671387;0.8514969944953918;0.1824091225862503
3;0.8496904373168945;0.6435865759849548;0.8774403929710388;0.7002078294754028;0.8165268301963806;0.8943786025047302;0.14437004923820496;0.001;0.8338848352432251;0.5495297312736511;0.8880734443664551;0.6847019791603088;0.8206539750099182;0.8546884059906006;0.17486193776130676
4;0.8545706272125244;0.6524922251701355;0.8812291026115417;0.7068271040916443;0.8252912759780884;0.8969714641571045;0.139414444565773;0.001;0.8393280506134033;0.5456939339637756;0.8998873233795166;0.6793203353881836;0.8286362886428833;0.8561506271362305;0.17436110973358154
5;0.8583829998970032;0.6597938537597656;0.8843200206756592;0.7111956477165222;0.8321384191513062;0.8989747762680054;0.1353335976600647;0.001;0.8430023789405823;0.5611741542816162;0.9046052694320679;0.6801474690437317;0.8285401463508606;0.8603031635284424;0.16904687881469727
6;0.8616886138916016;0.6649305820465088;0.8870378136634827;0.7172999978065491;0.8370704054832458;0.9011195302009583;0.13180968165397644;0.001;0.8416122198104858;0.5419017672538757;0.8984658122062683;0.6856419444084167;0.8351835608482361;0.8589003682136536;0.17612379789352417
7;0.8643407225608826;0.6693644523620605;0.8900539875030518;0.7233912348747253;0.8411602973937988;0.9018840789794922;0.12860694527626038;0.001;0.8403578996658325;0.5702679753303528;0.8986523151397705;0.690767228603363;0.8249125480651855;0.8576012849807739;0.16856743395328522
8;0.8668206334114075;0.6724229454994202;0.8924716114997864;0.7270996570587158;0.8452200293540955;0.9031883478164673;0.12620118260383606;0.001;0.8360525369644165;0.5701234936714172;0.8822612762451172;0.6862645149230957;0.832463264465332;0.8550411462783813;0.16610221564769745
9;0.8686899542808533;0.6769603490829468;0.8952826857566833;0.7293716073036194;0.8472079634666443;0.9038593769073486;0.12429974228143692;0.001;0.8427737951278687;0.577508270740509;0.8869808316230774;0.6927700042724609;0.844437301158905;0.8600355386734009;0.16251976788043976
10;0.8701901435852051;0.679657518863678;0.8976864814758301;0.7312809824943542;0.8486438393592834;0.9044796228408813;0.12272927910089493;0.001;0.8369084000587463;0.5480439066886902;0.8885359168052673;0.689518928527832;0.8277840614318848;0.857491672039032;0.17328612506389618
11;0.8721441030502319;0.6823061108589172;0.9001829028129578;0.7327619791030884;0.8519566655158997;0.9051406383514404;0.12113118916749954;0.001;0.8415465354919434;0.5641276240348816;0.8917402625083923;0.6935445666313171;0.8401907086372375;0.8571343421936035;0.16750511527061462
12;0.8728878498077393;0.6850225329399109;0.9015268683433533;0.7334306240081787;0.8523207902908325;0.905411422252655;0.12022671848535538;0.001;0.8388277888298035;0.5587986707687378;0.8988059759140015;0.6901565790176392;0.8163570761680603;0.8601822257041931;0.1717492789030075
13;0.877209484577179;0.6936285495758057;0.908012330532074;0.7381432056427002;0.8569984436035156;0.9072238802909851;0.11626110970973969;0.0005;0.8450813889503479;0.5732214450836182;0.9007964730262756;0.6985553503036499;0.8401647806167603;0.8576146364212036;0.16517630219459534
14;0.8790557384490967;0.6958383321762085;0.911650538444519;0.739387035369873;0.8587761521339417;0.9077315330505371;0.11497041583061218;0.0005;0.8427595496177673;0.579091489315033;0.8969815969467163;0.6913053393363953;0.8339505195617676;0.8585882782936096;0.16530011594295502
15;0.8802961707115173;0.69765704870224;0.9141408801078796;0.7406133413314819;0.8601579666137695;0.90781569480896;0.1139959841966629;0.0005;0.8456007838249207;0.5791882872581482;0.8997998237609863;0.6967878937721252;0.8392645716667175;0.859879732131958;0.16374698281288147
16;0.8813785910606384;0.6987999677658081;0.9160869121551514;0.7413150668144226;0.8617194294929504;0.9079568386077881;0.11319345980882645;0.0005;0.8423573970794678;0.5763915181159973;0.9004305601119995;0.6986289024353027;0.8259717226028442;0.8590378165245056;0.1647224873304367
17;0.8829639554023743;0.6999995112419128;0.9181166887283325;0.7423048615455627;0.8650340437889099;0.9082566499710083;0.11220043152570724;0.0005;0.843687117099762;0.5801107287406921;0.8954814076423645;0.6973735690116882;0.8382465243339539;0.8586176037788391;0.16529841721057892
18;0.8840529322624207;0.7008612155914307;0.9199516773223877;0.7431192398071289;0.867087721824646;0.9082156419754028;0.11153925955295563;0.0005;0.8442487120628357;0.5650942921638489;0.8959417939186096;0.6984995603561401;0.8410336375236511;0.8596931099891663;0.16733728349208832
19;0.884900689125061;0.702043354511261;0.9214895963668823;0.7441688776016235;0.8679013848304749;0.90847247838974;0.11091316491365433;0.0005;0.8459775447845459;0.5799857378005981;0.8969213366508484;0.6990855932235718;0.8414797186851501;0.8613712787628174;0.16350847482681274
